Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
45100,"Ship of Magic (Liveship Traders, #1)",Robin Hobb,"Hobb, Robin",,"=""000649885X""","=""9780006498858""",4,4.23,Voyager,Mass Market Paperback,880,1999,1998,,2019/04/23,high-fantasy,high-fantasy (#56),read,,,,1,0
45109,"Golden Fool (Tawny Man, #2)",Robin Hobb,"Hobb, Robin",,"=""0553582453""","=""9780553582451""",5,4.38,Spectra,Mass Market Paperback,709,2003,2002,2021/11/23,2020/07/22,high-fantasy,high-fantasy (#55),read,"Out of the nine Robin Hobb books I’ve read this is my favorite. The level of character development for known characters while simultaneously introducing several really interesting new characters…it’s so rich. The relationships that Fitz has with different people, especially the interpersonal conflicts really make this feel real to me. I really feel a lot in those situations.<br/><br/>I love seeing Kettricken as queen doing things she’s never done before. I love seeing Fitz realize some pretty big stuff about himself and how he relates to others and how he really grows into being a father figure. I love meeting Thick, who is easily one of my favorite characters ever. I love seeing how Chade and the Fool change. And the intrigues with Henja and others adds even more to it.<br/><br/>This also has an element of grief that makes it very bittersweet.<br/><br/>Just an awesome book.",,,2,1
45108,"Fool's Fate (Tawny Man, #3)",Robin Hobb,"Hobb, Robin",,"=""0553582461""","=""9780553582468""",5,4.49,Spectra,Mass Market Paperback,914,2004,2003,2019/01/01,2020/07/22,high-fantasy,high-fantasy (#54),read,,,,2,1
45102,"Ship of Destiny (Liveship Traders, #3)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",4,4.32,Bantam Spectra,Mass Market Paperback,789,2001,2000,,2019/04/23,high-fantasy,high-fantasy (#53),read,,,,1,0
45101,"The Mad Ship (Liveship Traders, #2)",Robin Hobb,"Hobb, Robin",,"=""0006498868""","=""9780006498865""",4,4.32,Harper Voyager,Mass Market Paperback,906,2008,1999,,2019/04/23,high-fantasy,high-fantasy (#52),read,,,,1,0
41021196,"Fool's Assassin (The Fitz and the Fool, #1)",Robin Hobb,"Hobb, Robin",,"=""0553392433""","=""9780553392432""",4,4.42,Del Rey,Kindle Edition,706,2014,2014,2023/09/18,2023/05/07,high-fantasy,high-fantasy (#51),read,"Have you ever found yourself reading a Robin Hobb book and thinking, “Huh. I’m a third of the way through this, but I still have no idea where this is going.”? Have you ever wanted to have that thought when you’re 80% of the way through a book? Well, have I got the book for you!<br/><br/>In all seriousness, my wife and I found ourselves saying repeatedly how it was odd how, despite having no discernible through plot, we kept wanting to read more. It was highly interesting. And I will say, when I got to that last 20% of the book, it did start to make a little more sense; the big reveal and the direction it takes are foreshadowed throughout, it’s just not…obvious foreshadowing.<br/><br/>This book is set in Withywoods, which I found an interesting albeit slower change of pace. It’s not much of a spoiler to tell you that this book is set many years later than Fools Fate, and is about Fitz and Molly having married life together. At least, that’s what the story is about at the onset. I love that Robin Hobb allowed us to really experience what that relationship is like for them, since after all we’ve only had 6 books of Fitz wishing he could have a real relationship with her again. It’s really neat to see how their relationship has the same core as before but has significantly matured.<br/><br/>One of the things I love is that you learn more about the culture and history of the white prophets and their people. You also have a lot of the book hinging around a mysterious new person who has supposedly been birthed into the world who is presumably the world’s next white prophet.<br/><br/>From there out I feel that anything I tell you about this book would be a major spoiler, but I will say, it does go in some bold new directions. There are several new characters, including one who will obviously be extremely important to the rest of the trilogy and perhaps beyond. This is the first book out of all the Fool and Fitz books that we have chapters written from someone’s perspective other than Fitz. It’s been engrossing.<br/><br/>The ending of the book is brutal, brutal, and more brutal, bordering on grimdark. There is some violence that is a bit shocking. Sometimes I wondered if it was too much, to make up for the fact that most of the book lacks any action. There is plenty of drama and things happening to care about, but this is one of the least action oriented books of the series. It’s even more character driven.<br/><br/>Because of the darkness at the end of the book I might actually take a break before diving into the next one but, I can’t wait to see what is revealed next about these characters and the world. It does end on a cliffhanger which isn’t my favorite kind of ending, but I’m more than willing to overlook that. This is a solid entry for me with lots of great memories from having read it.<br/><br/>At some point I’m also thinking that this book would be a good study in how to make a book compelling without a clear plot. There’s a lot of really creative things Robin Hobb (Megan Lindholm) is doing here and I’m so glad to see her never being complacent to keep writing in the box she’s set for herself; I feel like she’s always pushing her craft forward, and that’s something I really seek to learn from as a writer.<br/><br/>Also I will mention that if you get the fancier versions of this particular trilogy, they are really worth it. They are just gorgeous with the gold and silver. $15-20 each and I don’t normally spend that much money for a book but in this case I’m glad I did.",,,1,0
68488,"Fool's Errand (Tawny Man, #1)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",5,4.38,Voyager,Mass Market Paperback,661,2002,2001,2019/01/01,2020/07/22,high-fantasy,high-fantasy (#50),read,"I love the beginning of this book being slower and showing how Fitz has changed over the years. The main plot of the book doesn’t start until maybe 30-40% so that’s important to know for setting your expectations.<br/><br/>I also love how this book shows Nighteyes character development. His arc is really beautiful. And he can be really funny too. Other characters, too, have changed in very interesting ways.<br/><br/>A lot of this book is kind of an introduction to a new era. Both in terms of meeting the next generation of royalty but also in terms of, going into a lot of depth about the Wit. The plot has a lot to do with Witted and non-Witted conflict. It’s a really good look at how a minority subculture interacts with a majority subculture that heavily oppresses it.<br/><br/>The ending is both really sad and really hopeful. Lots of emotions. And it gets my gears turning, remembering how much happens in the next book which is my favorite of all Robin Hobb books.",,,2,0
25300956,"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",4,4.28,Spectra,Kindle Edition,675,2015,1996,2020/11/02,2019/04/23,"fantasy-classics, high-fantasy","fantasy-classics (#12), high-fantasy (#49)",read,,,,2,0
33396914,"Assassin's Quest (Farseer Trilogy, #3)",Robin Hobb,"Hobb, Robin",,"=""""","=""""",4,4.21,Spectra,Kindle Edition,757,2016,1997,,2019/04/23,"fantasy-classics, high-fantasy","fantasy-classics (#13), high-fantasy (#48)",read,,,,2,0
77197,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,"=""055357339X""","=""9780553573398""",5,4.19,Spectra Books,Mass Market Paperback,435,1996,1995,,2019/04/23,"favorites, high-fantasy, fantasy-classics","favorites (#46), high-fantasy (#41), fantasy-classics (#11)",read,"This was my second read, and it was wonderful to notice all sorts of foreshadowings and other details that I didn't know to attach significance to the first time around, in addition to all of the other things that Robin Hobb does so well. Still one of my favorite fantasy novels. Looking forward to now reading the sequel a second time; I liked it even more.",,,2,0
68428,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",0,4.49,Tor Books,Hardcover,541,2006,2006,,2023/01/18,"to-read, fantasy-classics","to-read (#476), fantasy-classics (#7)",to-read,,,,0,0
